Type,Number,Correct N (ug),Correct C (ug),Vial
Net1,16,7.39,42.46,C3
Net1,56,11.79,63.90,A1
Net1,10,5.03,29.67,B3
Net1,5,12.58,62.23,A3
Net1,33,8.96,50.97,A2
Net1,52,5.18,31.59,C1
Net1,45,10.89,70.77,B1
Net1,68,8.90,53.79,B2
Net1,2,6.80,40.38,C2
Net2,62,6.02,32.32,A3
Net2,59,2.59,14.68,B3
Net2,64,10.86,52.68,B2
Net2,40,2.04,12.32,A1
Net2,48,3.82,23.62,C2
Net2,20,5.47,31.42,C1
Net2,63,3.69,23.06,A2
Net2,23,3.11,19.11,C3
Net2,36,4.88,28.99,B1
Net3,3,2.76,15.82,A3
Net3,32,1.94,12.42,B1
Net3,47,2.49,16.10,C2
Net3,44,2.72,16.44,C3
Net3,50,2.91,17.15,C1
Net3,65,2.35,13.60,B2
Net3,27,2.54,18.22,B3
Net3,186,2.65,16.80,A2
Net3,171,2.95,36.29,A1
Net4,60,2.30,15.17,A1
Net4,66,2.26,14.84,B3
Net4,49,1.35,10.59,A2
Net4,30,1.72,9.89,C1
Net4,55,2.34,13.68,B1
Net4,4,0.49,2.87,C3
Net4,7,0.82,4.55,B2
Net4,38,1.64,9.40,C2
Net4,19,1.77,10.65,A3
Net5,182,5.74,27.84,A2
Net5,17,6.42,27.33,A1
Net5,8,8.71,43.11,C2
Net5,170,7.88,42.05,B1
Net5,57,9.36,45.62,C3
Net5,179,13.78,79.58,C1
Net5,175,7.49,39.54,A1
Net5,29,8.53,38.42,B2
Net5,12,10.61,55.28,B3
